#time	unbiased log10 chlorophyll a (log10 mg m-3)	unbiased rmsd (log10 mg m-3)
2014-02-12 00:00:00	-0.387	0.296
2014-02-14 00:00:00	-0.318	0.304
2014-02-26 00:00:00	-0.432	0.293
2014-02-28 00:00:00	-0.392	0.294
2014-03-10 00:00:00	-0.411	0.291
2014-03-12 00:00:00	-0.388	0.292
2014-03-21 00:00:00	-0.437	0.289
2014-03-22 00:00:00	-0.401	0.290
2014-03-24 00:00:00	-0.494	0.285
2014-03-25 00:00:00	-0.573	0.275
2014-03-26 00:00:00	-0.518	0.281
2014-03-29 00:00:00	-0.590	0.277
2014-03-30 00:00:00	-0.652	0.268
2014-03-31 00:00:00	-0.682	0.265
2014-04-03 00:00:00	-0.787	0.254
2014-04-08 00:00:00	-0.638	0.268
2014-04-09 00:00:00	-0.434	0.288
2014-04-10 00:00:00	-0.296	0.298
2014-04-12 00:00:00	-0.256	0.305
2014-04-18 00:00:00	-0.189	0.308
2014-04-21 00:00:00	-0.566	0.269
2014-04-22 00:00:00	-0.466	0.282
2014-04-25 00:00:00	-0.425	0.286
2014-05-12 00:00:00	0.288	0.334
2014-05-13 00:00:00	-0.096	0.316
2014-05-14 00:00:00	0.070	0.322
2014-05-16 00:00:00	-0.374	0.288
2014-05-18 00:00:00	-0.389	0.287
2014-05-19 00:00:00	-0.393	0.289
2014-05-26 00:00:00	0.105	0.325
2014-05-28 00:00:00	0.022	0.324
2014-06-01 00:00:00	-0.404	0.288
2014-06-02 00:00:00	-0.285	0.297
2014-06-04 00:00:00	-0.279	0.296
2014-06-08 00:00:00	-0.435	0.286
2014-06-09 00:00:00	-0.443	0.282
2014-06-11 00:00:00	-0.496	0.277
2014-07-01 00:00:00	-0.452	0.285
2014-07-03 00:00:00	-0.496	0.281
2014-07-07 00:00:00	-0.488	0.282
2014-07-14 00:00:00	-0.417	0.289
2014-07-26 00:00:00	-0.493	0.283
2014-08-03 00:00:00	-0.398	0.290
2014-08-05 00:00:00	-0.421	0.287
2014-08-06 00:00:00	-0.454	0.287
2014-08-22 00:00:00	-0.447	0.284
2014-08-25 00:00:00	-0.465	0.284
2014-08-28 00:00:00	-0.489	0.279
2014-08-31 00:00:00	-0.452	0.284
2014-09-07 00:00:00	-0.479	0.281
2014-09-11 00:00:00	-0.553	0.271
2014-09-20 00:00:00	-0.459	0.283
2014-09-28 00:00:00	-0.271	0.308
2014-10-02 00:00:00	-0.304	0.295
2014-10-11 00:00:00	-0.494	0.249
2014-10-14 00:00:00	-0.187	0.312
2014-10-15 00:00:00	0.020	0.318
2014-10-16 00:00:00	-0.219	0.258
2014-10-17 00:00:00	0.030	0.322
2014-11-01 00:00:00	-0.168	0.318
2015-02-20 00:00:00	-0.401	0.298
2015-02-25 00:00:00	-0.332	0.301
2015-02-27 00:00:00	-0.371	0.295
2015-03-04 00:00:00	-0.434	0.289
2015-03-10 00:00:00	-0.446	0.295
2015-03-14 00:00:00	-0.533	0.284
2015-03-15 00:00:00	-0.544	0.282
2015-03-21 00:00:00	-0.490	0.285
2015-03-23 00:00:00	-0.534	0.282
2015-03-25 00:00:00	-0.408	0.289
2015-03-31 00:00:00	-0.415	0.291
2015-04-08 00:00:00	-0.539	0.276
2015-04-09 00:00:00	-0.501	0.282
2015-04-10 00:00:00	-0.497	0.283
2015-04-13 00:00:00	-0.501	0.279
2015-04-14 00:00:00	-0.583	0.272
2015-04-15 00:00:00	-0.466	0.286
2015-04-17 00:00:00	-0.530	0.273
2015-04-19 00:00:00	0.139	0.323
2015-04-21 00:00:00	0.470	0.361
2015-04-22 00:00:00	0.302	0.384
2015-04-28 00:00:00	0.065	0.351
2015-04-29 00:00:00	0.222	0.331
2015-04-30 00:00:00	0.265	0.339
2015-05-06 00:00:00	-0.100	0.311
2015-05-11 00:00:00	0.299	0.337
2015-05-16 00:00:00	0.279	0.373
2015-05-20 00:00:00	-0.245	0.299
2015-05-22 00:00:00	-0.256	0.304
2015-05-25 00:00:00	0.225	0.341
2015-05-27 00:00:00	-0.273	0.300
2015-05-29 00:00:00	-0.198	0.308
2015-06-04 00:00:00	-0.393	0.286
2015-06-07 00:00:00	-0.346	0.290
2015-06-08 00:00:00	-0.549	0.272
2015-06-12 00:00:00	-0.138	0.309
2015-06-16 00:00:00	-0.403	0.291
2015-07-01 00:00:00	-0.527	0.280
2015-07-15 00:00:00	-0.501	0.284
2015-07-16 00:00:00	-0.479	0.286
2015-07-20 00:00:00	-0.511	0.280
2015-07-21 00:00:00	-0.566	0.275
2015-07-22 00:00:00	-0.560	0.275
