#time	SST (degrees Celsius)	standard error (degrees Celsius)
2014-01-01 12:00:00	7.976	0.220
2014-01-02 12:00:00	7.860	0.194
2014-01-03 12:00:00	7.905	0.190
2014-01-04 12:00:00	7.971	0.190
2014-01-05 12:00:00	7.899	0.190
2014-01-06 12:00:00	7.757	0.210
2014-01-07 12:00:00	7.746	0.190
2014-01-08 12:00:00	7.970	0.210
2014-01-09 12:00:00	8.190	0.210
2014-01-10 12:00:00	8.285	0.190
2014-01-11 12:00:00	8.304	0.190
2014-01-12 12:00:00	8.187	0.190
2014-01-13 12:00:00	8.117	0.194
2014-01-14 12:00:00	7.957	0.374
2014-01-15 12:00:00	7.916	0.354
2014-01-16 12:00:00	7.813	0.484
2014-01-17 12:00:00	7.802	0.524
2014-01-18 12:00:00	7.812	0.550
2014-01-19 12:00:00	7.778	0.540
2014-01-20 12:00:00	7.728	0.534
2014-01-21 12:00:00	7.662	0.540
2014-01-22 12:00:00	7.612	0.550
2014-01-23 12:00:00	7.708	0.510
2014-01-24 12:00:00	7.633	0.490
2014-01-25 12:00:00	7.079	0.390
2014-01-26 12:00:00	6.994	0.354
2014-01-27 12:00:00	7.020	0.294
2014-01-28 12:00:00	6.916	0.490
2014-01-29 12:00:00	6.930	0.490
2014-01-30 12:00:00	6.901	0.500
2014-01-31 12:00:00	6.659	0.490
2014-02-01 12:00:00	7.049	0.190
2014-02-02 12:00:00	6.947	0.190
2014-02-03 12:00:00	6.912	0.200
2014-02-04 12:00:00	6.826	0.215
2014-02-05 12:00:00	7.016	0.245
2014-02-06 12:00:00	6.971	0.234
2014-02-07 12:00:00	6.970	0.205
2014-02-08 12:00:00	6.980	0.215
2014-02-09 12:00:00	6.662	0.220
2014-02-10 12:00:00	6.654	0.200
2014-02-11 12:00:00	6.889	0.210
2014-02-12 12:00:00	6.902	0.220
2014-02-13 12:00:00	6.717	0.190
2014-02-14 12:00:00	6.677	0.190
2014-02-15 12:00:00	6.702	0.210
2014-02-16 12:00:00	7.025	0.190
2014-02-17 12:00:00	7.054	0.190
2014-02-18 12:00:00	7.034	0.200
2014-02-19 12:00:00	6.939	0.200
2014-02-20 12:00:00	6.904	0.200
2014-02-21 12:00:00	6.939	0.280
2014-02-22 12:00:00	6.894	0.260
2014-02-23 12:00:00	6.880	0.324
2014-02-24 12:00:00	6.884	0.530
2014-02-25 12:00:00	6.872	0.190
2014-02-26 12:00:00	6.852	0.200
2014-02-27 12:00:00	6.938	0.190
2014-02-28 12:00:00	6.997	0.190
2014-03-01 12:00:00	6.973	0.230
2014-03-02 12:00:00	6.842	0.339
2014-03-03 12:00:00	6.732	0.315
2014-03-04 12:00:00	7.031	0.230
2014-03-05 12:00:00	7.015	0.236
2014-03-06 12:00:00	7.005	0.230
2014-03-07 12:00:00	7.056	0.230
2014-03-08 12:00:00	7.082	0.230
2014-03-09 12:00:00	6.419	0.220
2014-03-10 12:00:00	6.237	0.220
2014-03-11 12:00:00	6.560	0.220
2014-03-12 12:00:00	6.613	0.230
2014-03-13 12:00:00	6.569	0.230
2014-03-14 12:00:00	6.470	0.220
2014-03-15 12:00:00	6.483	0.560
2014-03-16 12:00:00	6.506	0.524
2014-03-17 12:00:00	6.540	0.524
2014-03-18 12:00:00	6.560	0.584
2014-03-19 12:00:00	6.550	0.660
2014-03-20 12:00:00	6.526	0.220
2014-03-21 12:00:00	6.543	0.249
2014-03-22 12:00:00	6.547	0.240
2014-03-23 12:00:00	6.532	0.240
2014-03-24 12:00:00	6.440	0.230
2014-03-25 12:00:00	6.527	0.230
2014-03-26 12:00:00	6.523	0.230
2014-03-27 12:00:00	6.520	0.220
2014-03-28 12:00:00	6.513	0.240
2014-03-29 12:00:00	6.596	0.234
2014-03-30 12:00:00	6.576	0.220
2014-03-31 12:00:00	6.532	0.230
2014-04-01 12:00:00	6.447	0.220
2014-04-02 12:00:00	6.690	0.220
2014-04-03 12:00:00	6.789	0.220
2014-04-04 12:00:00	6.865	0.230
2014-04-05 12:00:00	6.865	0.414
2014-04-06 12:00:00	6.701	0.230
2014-04-07 12:00:00	6.691	0.230
2014-04-08 12:00:00	6.825	0.220
2014-04-09 12:00:00	7.019	0.230
2014-04-10 12:00:00	7.171	0.220
2014-04-11 12:00:00	7.312	0.220
2014-04-12 12:00:00	7.272	0.240
2014-04-13 12:00:00	7.185	0.240
2014-04-14 12:00:00	7.174	0.220
2014-04-15 12:00:00	7.188	0.240
2014-04-16 12:00:00	7.178	0.235
2014-04-17 12:00:00	7.372	0.220
2014-04-18 12:00:00	7.426	0.230
2014-04-19 12:00:00	7.481	0.220
2014-04-20 12:00:00	7.504	0.230
2014-04-21 12:00:00	7.502	0.220
2014-04-22 12:00:00	7.497	0.220
2014-04-23 12:00:00	7.585	0.220
2014-04-24 12:00:00	7.428	0.226
2014-04-25 12:00:00	7.411	0.224
2014-04-26 12:00:00	7.546	0.220
2014-04-27 12:00:00	7.346	0.240
2014-04-28 12:00:00	7.111	0.220
2014-04-29 12:00:00	6.921	0.230
2014-04-30 12:00:00	7.395	0.230
2014-05-01 12:00:00	7.461	0.230
2014-05-02 12:00:00	7.475	0.230
2014-05-03 12:00:00	7.613	0.250
2014-05-04 12:00:00	7.627	0.300
2014-05-05 12:00:00	7.693	0.474
2014-05-06 12:00:00	8.060	0.240
2014-05-07 12:00:00	8.141	0.226
2014-05-08 12:00:00	8.122	0.225
2014-05-09 12:00:00	8.201	0.270
2014-05-10 12:00:00	8.225	0.310
2014-05-11 12:00:00	8.522	0.240
2014-05-12 12:00:00	8.542	0.230
2014-05-13 12:00:00	8.633	0.220
2014-05-14 12:00:00	8.640	0.229
